#  id    x_cen    y_cen   x_len   y_len   angle    gain
#        arcsec   arcsec   pixel  pixel     deg  e-/ADU
    4        0        0    4096    4096     0.0     1.0
    0  -17.084  -17.084    4096    4096     0.0     1.0
    1        0  -17.084    4096    4096     0.0     1.0
    2   17.084  -17.084    4096    4096     0.0     1.0
    3  -21.484        0    4096    4096     0.0     1.0
    5   17.084        0    4096    4096     0.0     1.0
    6  -17.084   17.084    4096    4096     0.0     1.0
    7        0   17.084    4096    4096     0.0     1.0
    8   17.084   17.084    4096    4096     0.0     1.0
